"Kosten der Nacharbeit (Reinigung, Wiederaufbereitung etc.) [4.24]"
"Kosten für den Transport [3.62]"
"Kosten der Lagerung [3.76]"
"Kosten für ein gleichwertiges neues Element [3.9]"
"#1  Kosten für die Demontage"
"Materialwert [3.76]"
"Dicke des Profils [3.57]"
"Höhe des Profils [3.57]"
"#1  Länge des Profils/Elements"
"Andere Maße (Flansch, Steg) des Profils [3.43]"
"Kosten der Prüfung (chemische Zusammensetzung, gefährliche Stoffe...) [3.95]"
"Breite des Profils [3.57]"
"Typ / Querschnitt des Profils [3.86]"
"#1  verfügbare Dokumentation"
"#1 - Datum der Herstellung (Alter des Elements) [3.38]"
"Menge (Quantität) desselben Elements [4.38]"
"Funktion (Verwendung) des Elements [3.1]"
"#1 Gewicht"
"Zusammensetzung des Beschichtungsmaterials [3.67]"
"Art der Beschichtung [3.81]"
"#2 - Vorhandensein einer Beschichtung [3.48]"
"Festigkeit - Klasse [3.76]"
"Werkstoffgruppe [3.57]"
"Lage im Gebäude [3.67]"
"#1 Zerlegbarkeit"
"#1 - Hierarchie des Elements - Abhängigkeit und Beziehung zu anderen Elementen [3.81]"
"Festigkeit - Streckgrenze [3.71]"
"Chemische Zusammensetzung (Materialzusammensetzung) [3.62]"
"#1- Schweißbarkeit [3.43]"
"#1 Zustand der Beschichtung"
"Vorhandensein von Schadstoffen in der Beschichtung des Elements [4.86]"
"Alter der Beschichtung [3.29]"
"Exposition des Elements [3.76]"
"Geradheit [3.9]"
"Zustand - Beschädigung durch Abrieb [4.1]"
"Art der Verbindung des Elements [3.9]"
"Zugänglichkeit der Verbindung [4.24]"
"Festigkeit - Zug [3.71]"
"#1  Bearbeitbarkeit"
"#1  Aufwand der Demontage"
"Zustand - Beschädigung durch Korrosion [4.57]"
"Zustand - Beschädigung durch Versprödung [4.62]"
"Vorhandensein von Schadstoffen im Element [4.62]"
"Zustand - plastische Verformung [4.71]"
"Zustand - Beschädigung durch Feuer [4.71]"
"Zustand - Beschädigung durch Ermüdung [4.76]"
"Dehnung [3.71]"
"Zustand - Vorhandensein von Radioaktivität [""4.86""]"
"Graue Energie CO2 / CO2-Äq. Einsparung [3.81]"
"Kohlenstoffäquivalenzwert [3.38]"
"#1 Funktionalität der Verbindungen"
"#1 mögliche Wiederverwendung von Verbindungen"
