,"Please feel free to add any missing factors, which should be considered to determine the reusability of a building element."
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,ich glaube ausführlicher geht es gar nicht
7,innovationspotenzial; möglichkeit von anschlüssen/ausbildung von knoten zur weiterverwendung in einem dritten/vierten zyklus; schwingungsanfälligkeit; funktionalität der verbindungen; kaskadische potenziale;
8,"kosten/aufwand demontage, welche dann mit dem neupreis verglichen werden "
9,herstellerinformation / produktdatenblätter
10,nan
11,nan
12,demontierbarkeit
13,gewicht
14,"wie in frage: ""menge (quantität) des gleichen elements"" ist vorab zu kläre um die wirtschfaftlichkeit eines rückbaus inkl. lagerung für die bauträger in einem angemessenen verhältniss zu halten, daraus lassen sich die punkte der qualität (schadstoffe, statik, wert) ökonomisch beantworten. "
15,nan
16,nan
17,nan
18,"ich finde, dass man einige fragen nicht pauschal beantworten kann. zum beispiel hängt die eignung zur wiederverwendbarkeit gar nicht von der grösse des profils ab, sondern davon, welche profilgrössen für aktuelle projekte gesucht werden. "
19,"bearbeitbarkeit, anpassungsfähigkeit"
